Gene_name	HI_score
SMYD4	0.09
SMYD5	0.23
MAGEB1	0.042
CYTL1	0.256
SMYD1	0.446
SMYD2	0.194
SMYD3	0.181
ABO	0.109
MRFAP1	0.138
SERPIND1	0.632
IRF3	0.145
IRF2	0.435
IRF1	0.649
IRF7	0.121
IRF6	0.718
IRF5	0.104
IRF4	0.24
IRF9	0.419
IRF8	0.091
FAM78A	0.196
C6orf47	0.34
FAM78B	0.694
LY75	0.07
CLUL1	0.084
SNX29	0.183
PDZD4	0.364
SNX22	0.088
CLK1	0.404
CLK2	0.289
CLK3	0.173
CLK4	0.17
SNX27	0.13
SNX24	0.165
SNX25	0.079
CSF2RB	0.311
NPEPPS	0.172
INMT	0.091
C16orf75	0.307
GPER	0.067
ONECUT2	0.099
ONECUT1	0.363
PIGT	0.151
METT11D1	0.054
C6orf167	0.094
PANX1	0.1
PANX2	0.175
PANX3	0.185
PARP4	0.093
FECH	0.355
C16orf71	0.07
ZBTB12	0.144
ZBTB11	0.284
ZBTB10	0.561
ZBTB17	0.896
ZBTB16	0.764
C16orf73	0.113
OR1G1	0.052
C4orf21	0.052
C1orf159	0.083
C1orf158	0.095
C1orf157	0.057
C1orf156	0.108
DDX19B	0.19
C3orf66	0.063
C1orf151	0.415
C1orf150	0.072
LYSMD3	0.213
ACVR2A	0.685
ACVR2B	0.826
C3orf67	0.336
KLHL14	0.41
KLHL15	0.508
KLHL17	0.084
KLHL18	0.34
C16orf78	0.034
DAB2IP	0.415
BACE2	0.204
MRPL28	0.09
TRIM68	0.122
TRIM69	0.083
SLC17A3	0.082
C4orf27	0.063
UNG	0.474
TRIM60	0.082
TRIM61	0.121
TRIM62	0.182
C3orf63	0.265
TRIM65	0.106
TRIM66	0.241
TRIM67	0.187
PIP5K3	0.315
TRIT1	0.222
OMG	0.323
ITK	0.542
OMD	0.077
C2orf63	0.082
C2orf62	0.16
C2orf61	0.176
C2orf60	0.109
C2orf67	0.179
C2orf66	0.071
C2orf65	0.171
C2orf64	0.098
CEACAM6	0.038
NRF1	0.201
LRRC8E	0.164
NAGPA	0.076
DEFB121	0.039
NPTX1	0.313
LCAT	0.103
EVI2A	0.605
ZSCAN4	0.047
SC4MOL	0.505
LRRC8A	0.221
PRCD	0.099
HIP1	0.569
TRDN	0.161
CILP	0.219
SERTAD2	0.722
C13orf30	0.26
SERTAD4	0.128
LRRC8C	0.434
C13orf35	0.088
C13orf34	0.205
ZSCAN1	0.095
SIGLECP3	0.022
FAM13C1	0.521
APCDD1L	0.403
CDS2	0.073
TPPP2	0.125
GIN1	0.121
TTPA	0.149
PNPLA5	0.159
FBXL21	0.055
KLKB1	0.375
PPM1F	0.96
PAQR5	0.119
MBD2	0.474
PES1	0.588
PPM1E	0.998
PYDC1	0.05
RDX	0.468
PARP2	0.086
SLN	0.272
CYBA	0.225
CEACAM19	0.119
CRHBP	0.662
CYB561D1	0.24
HMHA1	0.302
CDC123	0.15
ANKRD34B	0.286
CIDEB	0.155
CIDEC	0.184
DHCR24	0.166
PRCP	0.355
PPM1A	0.996
NOTCH4	0.383
MCC	0.661
LCA5	0.139
NOTCH2	0.965
FAM126A	0.183
EPHB6	0.331
FERMT1	0.063
ZNF658	0.149
EGR3	0.934
ZNF655	0.096
TCTEX1D2	0.165
TCTEX1D1	0.054
CMTM5	0.121
PPM1M	0.087
ZNF653	0.233
TCTEX1D4	0.219
HSF1	0.097
FGFRL1	0.255
EGR1	0.989
HSF5	0.177
HSF4	0.234
CRLF1	0.346
NISCH	0.09
PRPF4B	0.878
RAPGEF4	0.121
RAPGEF5	0.096
RAPGEF6	0.627
N4BP2L2	0.136
C7orf51	0.328
C7orf50	0.075
RAPGEF2	0.501
C7orf52	0.178
C7orf58	0.05
KMO	0.061
NKPD1	0.149
DNAJB13	0.113
ZNF384	0.339
ZNF354A	0.197
ZNF382	0.151
ZNF354C	0.25
ZNF354B	0.14
ARHGEF9	0.209
PARK7	0.196
RORC	0.609
DNAJB11	0.311
RORA	0.793
PARK2	0.175
ZNF479	0.065
DUSP21	0.043
ZNF471	0.179
ZNF470	0.157
ZNF473	0.047
CSTL1	0.099
ZNF474	0.091
GUSB	0.146
TELO2	0.261
HLA-DQB2	0.121
SHANK3	0.167
PNPLA8	0.194
ARHGDIA	0.091
MDM1	0.384
MDM2	0.982
MDM4	0.815
ROR2	0.158
ROR1	0.847
SNRPD3	0.834
SNRPD2	0.358
SNRPD1	0.875
SLTM	0.675
SFI1	0.155
CPB2	0.039
CPB1	0.527
KIT	0.385
KPNA6	0.921
KPNA5	0.955
KPNA4	0.835
KPNA3	0.687
KIN	0.173
KPNA1	0.923
ZNF397OS	0.105
GABPA	0.14
SYNGR3	0.402
REXO4	0.063
CRP	0.044
DVL2	0.916
EDA2R	0.02
UNC119B	0.208
CRX	0.769
SLC25A18	0.118
OR6S1	0.116
FRS3	0.961
FRS2	0.943
GOLT1B	0.166
TNFRSF14	0.072
CRK	0.72
CRH	1.0
SLC25A15	0.134
TNFRSF18	0.035
TNFRSF19	0.072
SLC25A14	0.507
TSGA10IP	0.105
CHODL	0.13
GLDC	0.457
QPCT	0.288
PC	0.169
RTN4IP1	0.055
ACE2	0.877
B4GALT1	0.497
B4GALT3	0.247
B4GALT2	0.056
B4GALT5	0.231
B4GALT4	0.395
B4GALT7	0.23
B4GALT6	0.544
FCN3	0.083
FCN2	0.091
FCN1	0.273
ALDH2	0.481
OR5L1	0.054
DHRS12	0.041
CSN1S1	0.064
SGOL1	0.06
SGOL2	0.048
GPR89B	0.185
HS2ST1	0.776
CR1	0.075
TNFRSF1B	0.592
LGMN	0.16
TNFRSF1A	0.526
CYP19A1	0.314
PTPN9	0.302
MEIS2	0.551
CCDC124	0.189
SULT2B1	0.195
L1CAM	0.345
GPD1L	0.541
FBL	0.967
C6orf211	0.535
PAX2	0.861
C6orf218	0.05
FAM96B	0.206
CCDC123	0.034
CAPS2	0.071
CNGB1	0.68
ZNF671	0.064
ARNTL2	0.252
PTH2	0.122
EHMT1	0.167
EHMT2	0.264
ADIPOR2	0.188
ADIPOR1	0.266
PTPN7	0.222
HPRT1	0.667
RG9MTD3	0.051
MARK4	0.525
STOX1	0.078
MARK1	0.435
MARK2	0.364
FOSL2	0.829
NDUFA10	0.059
PTPN4	0.15
BRWD3	0.66
CCDC11	0.052
GINS2	0.501
IGBP1	0.119
CD63	0.422
FOXF2	0.128
CA5BL	0.029
NDUFA13	0.055
CD69	0.123
CD68	0.092
PAGE3	0.086
GINS1	0.077
TPD52L2	0.107
TPD52L3	0.021
TPD52L1	0.261
C21orf62	0.051
PSPN	0.118
VSX1	0.096
SHCBP1	0.287
ISOC1	0.122
HSPA1B	0.624
CAPSL	0.084
PROK2	0.301
HRK	0.255
CCDC120	0.168
ACTR3B	0.199
WDR13	0.116
WDR12	0.605
SRP68	0.453
CHRD	0.231
WDR17	0.104
METTL7B	0.067
BRWD1	0.532
WDR19	0.335
PSCA	0.099
GPR56	0.127
AOX1	0.134
PPP2R1B	0.834
BMP15	0.325
JHDM1D	0.143
C1orf210	0.166
C1orf212	0.052
C1orf213	0.109
TIMM9	0.304
C1orf216	0.121
ZMYND17	0.17
USP9X	0.477
ZMYND15	0.156
ZMYND12	0.094
WASL	0.887
ZMYND10	0.106
ZMYND11	0.158
BCL9L	0.445
ZMYND19	0.124
SLC35B1	0.137
CLEC3B	0.271
KRT33B	0.213
CGGBP1	0.183
CLEC3A	0.184
AMBP	0.272
AMBN	0.108
ZFP42	0.194
FAM83D	0.591
MAD2L1BP	0.123
WNT2B	0.038
HSPB7	0.13
C10orf35	0.015
C10orf32	0.15
HSPB3	0.147
HSPB1	0.443
PKN1	0.281
PKN3	0.068
PKN2	0.464
HSPB8	0.448
HSPB9	0.112
DOT1L	0.153
CILP2	0.133
RHOBTB2	0.141
RHOBTB3	0.186
RHOBTB1	0.288
DIS3L2	0.06
KIAA0913	0.607
FAM43B	0.396
FAM43A	0.374
UTP14A	0.339
ZNF784	0.119
TNFRSF21	0.238
C5orf22	0.118
C5orf23	0.087
LMF2	0.125
KCNE2	0.07
KCNE3	0.108
FKBP9L	0.217
NGDN	0.11
FAM124B	0.066
ERBB2IP	0.378
KCNE4	0.272
FAM124A	0.286
PIGS	0.175
PTDSS2	0.147
LDLRAD1	0.106
LDLRAD2	0.254
LDLRAD3	0.225
HPCA	0.366
PBXIP1	0.068
SLFN12L	0.074
CHST6	0.112
AGTPBP1	0.61
DNASE1	0.131
NAV1	0.151
PMS2L5	0.022
NAV3	0.728
NAV2	0.363
LIG1	0.981
PMS2L2	0.07
BDP1	0.225
APEH	0.108
DEFB131	0.043
DEFB132	0.092
DEFB133	0.096
ISCU	0.409
ATP13A1	0.174
EHBP1L1	0.148
FNTA	0.397
FNTB	0.179
BOLL	0.173
UMODL1	0.128
ADAMTS20	0.128
NKX6-2	0.289
NKX6-3	0.133
C15orf55	0.091
NKX6-1	0.186
KCTD13	0.342
KCTD12	0.672
KCTD11	0.123
KCTD10	0.277
KCTD17	0.109
KCTD16	0.631
BARHL1	0.762
CSPG5	0.408
SCGB2A1	0.211
KCTD19	0.195
KCTD18	0.203
KRTAP10-3	0.116
KRTAP10-2	0.099
KRTAP10-1	0.091
ZKSCAN1	0.162
ZKSCAN3	0.137
ZKSCAN2	0.094
ZKSCAN5	0.306
ZKSCAN4	0.091
ALDH1L2	0.166
KIAA1409	0.117
GLIS2	0.215
GLIS3	0.515
GLIS1	0.141
KIAA1407	0.044
FNBP4	0.481
SLC25A34	0.174
SLC25A37	0.876
SLC25A36	0.153
SLC25A31	0.289
DCP1B	0.076
DCP1A	0.372
SLC25A32	0.087
SLC25A39	0.112
SLC25A38	0.185
ENDOD1	0.206
TUBA1C	0.33
TRIP6	0.341
TUBA1A	0.935
FAM23A	0.164
VIP	0.258
IGSF10	0.164
IGSF11	0.233
KCNK10	0.472
TMEM182	0.279
TMEM181	0.106
TMEM180	0.187
TMEM187	0.091
TMEM186	0.029
IL10RB	0.071
DBF4	0.289
EWSR1	0.95
FAM102B	0.18
FAM102A	0.193
CNTD1	0.099
ISCA1L	0.188
PGBD4	0.04
OR52N5	0.054
SMCR7L	0.101
OR52N2	0.053
KCNJ16	0.124
SCGB1A1	0.075
TAF7	0.486
TAF6	0.699
TAF5	0.916
MMAB	0.166
TAF3	0.857
TAF2	0.369
TAF1	0.692
MRPS6	0.086
OR52N1	0.19
G6PC	0.844
USP10	0.638
TAF9	0.951
TAF8	0.25
TSPAN32	0.064
TSPAN33	0.268
CLTCL1	0.24
TSPAN31	0.266
GNG8	0.316
POMT1	0.134
POMT2	0.304
AIF1	0.588
USP17	0.029
AGPS	0.41
ALAD	0.1
ZER1	0.524
FOSB	0.46
NR2E3	0.633
MED9	0.209
PPAPDC1B	0.085
CCNG1	0.642
CCNG2	0.302
PDXK	0.081
PPAPDC1A	0.15
SOS2	0.922
LRRCC1	0.142
NPLOC4	0.239
TMEM86A	0.224
TMEM86B	0.078
LGALS13	0.199
FNIP1	0.512
FNIP2	0.1
SSBP2	0.164
MIF	0.166
AKAP8L	0.08
BCL10	0.7
AP2M1	0.19
ALG2	0.061
TCF24	0.076
PDCD7	0.202
PDCD4	0.5
PDCD5	0.502
PDCD2	0.213
TCF21	0.412
PDCD1	0.116
ALG1	0.093
PRUNE	0.144
C15orf33	0.281
MINA	0.107
HDLBP	0.844
PBLD	0.117
OR6C3	0.115
C6orf27	0.074
ARFGEF1	0.848
C6orf25	0.064
OR6C4	0.032
GCAT	0.063
GHSR	0.53
N4BP1	0.39
VPS26A	0.119
VPS26B	0.114
KLRD1	0.084
C14orf93	0.307
PGPEP1	0.229
SMU1	0.162
ZNF100	0.105
SREBF2	0.642
OR13G1	0.2
SREBF1	0.168
OXCT1	0.084
DSG4	0.257
OXCT2	0.194
C7orf53	0.104
TXNDC17	0.075
SMARCE1	0.997
CIC	0.191
KARS	0.352
TXNDC16	0.104
RAB39B	0.432
ZNF324	0.137
SSRP1	0.771
TXNDC11	0.384
RPS19	0.61
IL12B	0.105
IL12A	0.066
RLTPR	0.187
IRAK1BP1	0.086
OR51L1	0.046
TXNDC13	0.134
CIT	0.331
GALNTL1	0.458
PDE2A	0.26
COX6B2	0.065
ZNF320	0.104
TAF6L	0.099
DAO	0.099
TATDN1	0.261
FIGLA	0.138
THPO	0.158
ADNP	0.878
C1orf174	0.143
LRP1B	0.548
ELMO2	0.224
DAP	0.028
C1orf170	0.061
C1orf173	0.136
C1orf172	0.598
WFDC8	0.057
GLE1	0.336
MTA1	0.869
MTA2	0.882
MTA3	0.789
LRP10	0.162
LRP11	0.21
LRP12	0.753
CUBN	0.143
GAPDHS	0.068
GPC1	0.153
GPC2	0.098
GPC3	0.712
GPC4	0.799
SH3BP5L	0.136
GPC6	0.6
MPHOSPH10	0.424
TBCD	0.105
MTAP	0.143
BICD2	0.176
BICD1	0.239
SEC22C	0.296
SEC22A	0.252
SLC16A10	0.069
BBS2	0.147
BBS5	0.332
BBS4	0.107
BBS7	0.16
DUS4L	0.399
CCNE2	0.997
C2orf49	0.264
C2orf48	0.061
C2orf44	0.187
C2orf47	0.029
C2orf40	0.142
ESM1	0.112
C2orf42	0.186
NYX	0.183
AGL	0.383
AGK	0.146
NIPA2	0.155
NIPA1	0.346
ADIG	0.193
SSFA2	0.138
AGA	0.034
FUT4	0.05
KLC4	0.242
PDCD10	0.696
PDCD11	0.043
ATPIF1	0.124
C13orf15	0.328
C13orf16	0.022
CLDN8	0.103
CBLC	0.067
CRKL	0.942
GPR180	0.139
PIK3CA	0.952
PIK3CB	0.996
SLC28A1	0.058
PIK3CD	0.607
PIK3CG	0.946
ZSWIM4	0.2
ZSWIM5	0.592
ZSWIM6	0.591
ZSWIM7	0.122
ZSWIM1	0.171
ZSWIM2	0.104
TMEM59	0.766
TMEM56	0.009
TMEM57	0.704
TMEM54	0.206
SCLY	0.303
TMEM52	0.075
TMEM53	0.715
TMEM51	0.142
SFRP2	0.838
GSC2	0.096
C20orf173	0.054
FUT2	0.046
FAM84B	0.157
POLR3GL	0.125
FAM84A	0.125
TDH	0.159
PIK3C3	0.627
PRRG4	0.046
ZNF676	0.092
ZNF675	0.105
ZNF674	0.174
ZNF673	0.093
ZNF672	0.251
ORM2	0.26
ZNF670	0.071
PARP16	0.189
WHSC1	0.392
WHSC2	0.13
PARP15	0.041
PARP12	0.123
KTI12	0.096
ZNF678	0.186
JPH1	0.527
MAG	0.949
MAF	0.271
ACLY	0.633
MAK	0.173
DEC1	0.032
MAL	0.152
SLC7A5	0.123
FIGF	0.108
KRTAP11-1	0.184
EVL	0.758
OR1B1	0.048
ALDH3A2	0.061
EVC	0.107
WFDC1	0.094
MGST2	0.138
MGST3	0.066
CHAD	0.27
MGST1	0.107
EDC4	0.254
KRTAP19-5	0.068
ZNF451	0.273
CSDE1	0.62
ZNF454	0.148
BACH2	0.959
BACH1	0.803
JAM3	0.115
GMDS	0.164
PRKCQ	0.572
WSB1	0.276
RASEF	0.083
COL1A2	0.999
KCNIP4	0.321
KCNIP3	0.124
KCNIP2	0.332
KCNIP1	0.367
AGPAT2	0.085
OTUD7A	0.194
ELA3A	0.628
ELA3B	0.234
WFDC3	0.111
MPV17	0.11
COL1A1	0.992
LIN28B	0.559
AVPI1	0.044
C10orf111	0.085
MOGAT2	0.174
MOGAT3	0.224
MOGAT1	0.134
ANAPC1	0.493
HMCN2	0.112
HMCN1	0.098
ANAPC2	0.14
ANAPC5	0.365
ANAPC4	0.649
ANAPC7	0.602
KIR3DX1	0.041
RPS6KA1	0.808
RPS6KA2	0.521
SNRPB2	0.367
RPS6KA4	0.392
RPS6KA5	0.623
RPS6KA6	0.164
MAGEB3	0.033
SH3D19	0.253
PSMD14	0.97
SQRDL	0.147
PSMD11	0.994
PSMD10	0.983
PSMD13	0.945
PSMD12	0.966
FTCD	0.109
UTP20	0.521
TRDMT1	0.049
MYO10	0.352
MARCH8	0.086
METTL2B	0.086
GANAB	0.313
MAGEB4	0.025
OR6A2	0.169
VAPB	0.534
VAPA	0.537
NPHP1	0.094
NPHP4	0.102
CTH	0.19
EXOSC10	0.351
ARF3	0.807
ARF1	0.347
ARF6	0.356
ARF5	0.151
ARF4	0.264
BMP2KL	0.133
EFCAB6	0.073
RAB3IP	0.051
MOBP	0.085
PTPRCAP	0.088
GPR34	0.26
C6orf186	0.176
C6orf185	0.276
C6orf184	0.075
C6orf182	0.095
C6orf48	0.042
MYLK4	0.176
MYLK2	0.288
MYLK3	0.085
RGPD2	0.123
SCN4A	0.113
RGPD1	0.211
RGPD6	0.906
RDM1	0.063
PQLC3	0.162
PQLC2	0.105
PQLC1	0.225
RAB11FIP3	0.127
TMEM154	0.036
RAB11FIP1	0.127
PDF	0.059
RAB11FIP5	0.235
RAB11FIP4	0.131
ANPEP	0.181
SLCO1B3	0.1
SPP1	0.492
SPP2	0.034
LRRC23	0.237
MYL6B	0.094
NRN1L	0.108
SLITRK6	0.317
IFIH1	0.502
ACTR10	0.181
SIPA1L3	0.404
HMGB2	0.934
RRAS	0.155
LRRC20	0.255
SLITRK4	0.495
HMGB4	0.037
ARL11	0.061
ARL10	0.275
RAB2B	0.306
SLITRK5	0.274
ARL15	0.547
ARL14	0.383
ARL16	0.073
FRRS1	0.158
GCHFR	0.156
AASS	0.45
WDR45L	0.266
SLITRK1	0.328
UGCGL1	0.45
UGCGL2	0.056
PEX14	0.192
CLIP3	0.248
CLIP2	0.109
ACTL7A	0.256
ETNK2	0.069
ETNK1	0.14
CLIP4	0.139
MNDA	0.079
LRRC28	0.11
RABAC1	0.154
HEXDC	0.126
DHRS7B	0.173
AP3B1	0.335
CD48	0.063
CATSPER1	0.022
MND1	0.469
CD44	0.156
CD47	0.071
CA14	0.173
CA13	0.128
CA12	0.181
CA11	0.594
CA10	0.346
GCNT6	0.032
FGFR1OP	0.543
PDX1	0.151
C14orf138	0.133
SNX20	0.127
RAB20	0.114
CALY	0.125
EIF4E3	0.383
EIF4E2	0.165
RAB24	0.085
RAB25	0.176
RAB26	0.203
PIK3C2B	0.233
RAB28	0.146
CUEDC1	0.196
GLRA1	0.265
DZIP1L	0.122
CALU	0.586
GLRA4	0.425
WDR79	0.13
WDR78	0.099
ACTR1B	0.246
ACTR1A	0.244
WDR70	0.203
WDR73	0.093
CHPF	0.114
WDR75	0.336
WDR74	0.218
WDR77	0.115
WDR76	0.65
CD74	0.303
DHX29	0.588
PPP2R3B	0.062
PPP2R3C	0.154
PPP2R3A	0.131
NQO2	0.08
CDO1	0.211
RIBC1	0.076
NQO1	0.12
SFMBT1	0.755
SFMBT2	0.114
NID2	0.762
PRPF3	0.773
PRPF4	0.316
PRPF6	0.085
CD72	0.447
HPN	0.245
RUNDC1	0.15
C15orf38	0.06
CD177	0.047
PCF11	0.54
ONECUT3	0.072
CLEC1A	0.052
CLEC1B	0.083
RFC4	0.997
ZFP64	0.533
C5orf40	0.193
C5orf41	0.346
C5orf42	0.097
PIP4K2B	0.148
ZNF322A	0.277
IL31RA	0.046
RFFL	0.228
WNT9B	0.104
LEFTY2	0.486
LEFTY1	0.444
ARRDC4	0.584
ARRDC5	0.068
ARRDC1	0.079
ARRDC2	0.332
ARRDC3	0.765
FAM120AOS	0.102
KIF14	0.059
RAB27B	0.239
ZIC2	0.835
AR	0.99
SH3BP5	0.3
CSAD	0.171
RABGAP1L	0.295
ELK3	0.997
CHAT	0.067
ELK1	1.0
GPHB5	0.197
ELK4	0.982
KTELC1	0.109
PAK6	0.198
PAK7	0.345
PAK1	0.908
PAK2	0.764
VPS28	0.185
FAM122A	0.505
EZH1	0.529
CXorf62	0.372
KIF12	0.056
NSDHL	0.073
KCNG1	0.097
KCNG2	0.061
KCNG3	0.18
KCNG4	0.065
NUBPL	0.04
KRT19	0.089
NT5DC3	0.156
OR4C15	0.032
OR4C16	0.066
OR4C11	0.093
CEP97	0.327
UBA1	0.441
DEFB116	0.01
DEFB117	0.08
DEFB114	0.019
CBX4	0.879
DEFB112	0.053
DEFB113	0.045
SUB1	0.653
RPRM	0.517
CALCRL	0.286
DEFB118	0.068
CBX2	0.113
DMBT1	0.253
PRKG1	0.986
LCN10	0.082
PRKG2	0.233
TRAF3IP3	0.206
TRAF3IP2	0.077
TNS1	0.388
C10orf53	0.055
C20orf186	0.114
TMEM50B	0.14
HEXA	0.092
CD5L	0.047
SPRR4	0.096
SPRR3	0.02
HIF1A	0.984
OR8D4	0.034
FASTKD5	0.106
OR8D1	0.055
OR8D2	0.053
KLC1	0.203
ARGLU1	0.69
NLRP1	0.055
EZH2	0.97
KLC2	0.225
SPANXN3	0.039
KLC3	0.127
C20orf185	0.144
CALML3	0.26
CD164L2	0.161
NLRP2	0.836
GLYCTK	0.035
CALML6	0.099
CALML5	0.054
CALML4	0.116
SHISA4	0.154
SHISA5	0.119
PFN2	0.545
PFN3	0.094
PFN4	0.091
CREM	0.763
SHISA2	0.332
SHISA3	0.149
GAS1	0.415
COX11	0.086
TRIM3	0.335
TRIM2	0.544
TRIM5	0.051
TRIM4	0.11
TRIM7	0.091
COX17	0.233
PDGFRB	0.832
PDGFRA	0.948
RGS19	0.134
ANKRD13B	0.576
ANKRD13C	0.456
ANKRD13A	0.402
KIAA1467	0.133
AIDA	0.6
UGT2A3	0.259
KIAA1462	0.107
SCN10A	0.163
PDGFRL	0.267
OSBP2	0.116
TMSB10	0.084
PPA2	0.04
PPA1	0.571
TEX101	0.19
MCTP1	0.568
ZNF193	0.054
RAB19	0.18
BET1	0.056
PGA3	0.073
NUP62	0.687
RAB18	0.166
ALCAM	0.625
TPM4	0.198
TPM3	0.53
TPM2	0.772
TPM1	0.827
ETF1	0.984
FBXW9	0.124
C22orf39	0.125
CCPG1	0.121
SIPA1	0.14
C22orf33	0.087
FOXB1	0.721
FOXB2	0.551
TAGLN	0.587
FBXW4	0.141
FBXW5	0.115
FBXW7	0.981
TGFBR3	0.553
TGFBR2	0.972
TGFBR1	0.999
CDCP2	0.057
SH3RF2	0.146
SH3RF1	0.553
SMNDC1	0.332
TPMT	0.081
SSX2IP	0.14
YKT6	0.111
STON2	0.045
ANKLE2	0.265
PCIF1	0.097
LRAT	0.079
C15orf32	0.06
TJP2	0.302
TJP3	0.12
NDOR1	0.109
RAB15	0.118
PPP1CA	0.997
NDUFA4L2	0.408
OR7A5	0.028
PPAT	0.868
C9orf51	0.065
GKAP1	0.261
SH3PXD2B	0.222
TUB	0.251
SH3PXD2A	0.361
KLHL10	0.427
DAK	0.313
LYSMD2	0.153
DCXR	0.064
KLHL12	0.201
AGRP	0.711
AGRN	0.311
NFYB	0.777
CLGN	0.141
KLHL13	0.218
SMARCA1	0.99
SMARCA2	1.0
RABL5	0.132
CCNI2	0.083
SMARCA5	0.978
POMZP3	0.161
FYB	0.065
SYCN	0.186
OLAH	0.082
LYSMD4	0.106
FYN	0.996
ASCL2	0.367
TOR1A	0.69
TOR1B	0.143
EBP	0.197
CCT6A	0.225
PAF1	0.367
CCT6B	0.101
OSTN	0.213
XAGE1B	0.056
RAB1B	0.31
XAGE1E	0.043
BRUNOL4	0.454
CHCHD3	0.097
RUFY1	0.205
RUFY3	0.786
RUFY2	0.113
RUFY4	0.029
FCGR2A	0.143
NLE1	0.229
ROD1	0.939
OLA1	0.547
SKIL	0.714
CHCHD6	0.102
EXDL2	0.134
CHCHD7	0.163
DPH1	0.605
DPH2	0.07
DPH3	0.364
MYH7B	0.125
DPH5	0.473
SPAST	0.62
MUM1L1	0.074
CALCR	0.154
PSAPL1	0.118
AGR2	0.069
AGR3	0.115
WIBG	0.129
WBP5	0.672
CANT1	0.124
CALCA	0.059
CALCB	0.037
OR13A1	0.123
ENO2	0.815
LCTL	0.064
TM2D1	0.28
LBXCOR1	0.07
TM2D2	0.102
SLFN12	0.038
MUC5AC	0.136
TM2D3	0.096
SLK	0.15
OR51B5	0.05
OR51B4	0.091
OR51B6	0.115
PAM	0.481
OR51B2	0.06
DCN	0.673
TRIM63	0.11
DCK	0.027
DCI	0.07
LIX1	0.155
DCD	0.052
THRB	0.87
ACSM4	0.153
THRA	0.416
TAF4B	0.675
PERP	0.187
RBBP8	0.782
DCX	0.834
UBAC1	0.146
CUL5	0.218
DCT	0.337
CUL7	0.136
CUL1	0.447
CUL2	0.681
CUL3	0.202
TRIM28	0.37
TRIM29	0.407
PNKP	0.326
TRIM24	0.879
TRIM25	0.074
TRIM26	0.227
TRIM27	0.338
CREB3	0.176
TRIM21	0.306
CREB1	0.995
TRIM23	0.55
PER3	0.173
PER2	0.741
PER1	0.759
PNKD	0.422
KLK14	0.046
GNPAT	0.415
C21orf34	0.653
TRPT1	0.062
ZFAND6	0.495
VTA1	0.318
ZFAND5	0.13
ARCN1	0.259
ZNF517	0.121
F2R	0.063
IHH	0.664
GDF11	0.591
QRFP	0.085
TECTA	0.572
AES	0.272
RNF31	0.146
PNRC1	0.213
PNRC2	0.526
GBA	0.08
GNAO1	0.227
SLC1A5	0.273
SP140	0.026
NTSR2	0.123
COMMD7	0.064
DNAJC21	0.118
NTSR1	0.143
ZNF223	0.087
ARHGAP9	0.126
ACN9	0.121
ARHGAP4	0.105
ARHGAP5	0.194
ARHGAP6	0.164
ICOSLG	0.102
ARHGAP1	0.341
SETD1A	0.29
HMOX1	0.092
PRLR	0.07
LAMA3	0.087
TNK1	0.116
ZFP36	0.13
KRT222P	0.282
TMEM78	0.087
TMEM79	0.238
PRLH	0.081
OR4D11	0.106
PPP6C	0.531
ZYX	0.116
ZNF229	0.118
TMEM70	0.04
TMEM71	0.058
ANXA13	0.15
TMEM74	0.087
TMEM75	0.032
TMEM77	0.089
PLVAP	0.114
SLA	0.564
CNBD1	0.075
FAM86D	0.054
HEMGN	0.111
MRPL4	0.046
MRPL2	0.067
MRPL3	0.142
RPUSD2	0.032
RPUSD3	0.09
TTLL8	0.62
ZFAT	0.058
MRPL9	0.281
ZNF611	0.142
HOXC11	0.661
ZNF613	0.377
ZNF615	0.148
KIAA1772	0.218
ZNF619	0.062
ZNF618	0.134
SLC3A1	0.13
GABRQ	0.108
HOXC12	0.429
EIF4EBP1	0.529
ASPRV1	0.149
MS4A10	0.041
MS4A12	0.022
MS4A13	0.025
MOG	0.374
MS4A15	0.097
BAG2	0.22
BAG3	0.578
CCDC83	0.027
BAG1	0.244
OR1L8	0.117
BAG4	0.229
BAG5	0.318
SH2D1B	0.109
OR1L4	0.235
OR1L6	0.144
OR1L1	0.039
RTKN	0.145
OR1L3	0.136
MSRB2	0.156
LRRC37A4	0.064
NTRK3	0.254
CD79B	0.19
MEOX1	0.792
MEOX2	0.802
CD79A	0.105
CSDC2	0.144
DENND3	0.083
NSUN5B	0.071
ZNF385C	0.208
ZNF385B	0.531
ZNF385A	0.192
GMFB	0.69
SLC34A3	0.129
ZNF385D	0.828
ARHGAP20	0.216
SLC39A6	0.247
ERCC1	0.848
PDHA2	0.251
CPSF3L	0.133
PDHA1	0.28
COL4A3BP	0.193
SAP18	0.371
ARHGAP24	0.321
MTMR15	0.088
ATXN10	0.141
FSCN3	0.152
RRP12	0.364
FSCN1	0.195
TCAP	0.096
MRPS17	0.153
MRPS16	0.047
CKMT2	0.138
OR10H3	0.028
RPS6KC1	0.101
KRTAP22-1	0.074
CD247	0.472
RFPL4B	0.007
RFPL4A	0.042
RILPL1	0.113
RILPL2	0.067
MRPS12	0.274
DHRS4L2	0.033
TMPO	0.61
CAMK1D	0.155
CAMK1G	0.354
NLRP12	0.104
LDHAL6B	0.067
ECM2	0.075
ECM1	0.134
LDHAL6A	0.072
SMCR8	0.168
DDIT3	0.299
KRTAP13-4	0.072
OR52D1	0.186
FMR1	0.49
MICALCL	0.036
SMCR7	0.08
LYPD6	0.299
RAB3IL1	0.306
LYPD4	0.091
HIST4H4	0.158
